No.;Time;Comment;Scramble;Date;P.1
1;13.16;;D R' D2 L2 F U' F D2 F2 D2 F L2 B2 U2 R2 B L2 R' D' B';2021-12-15 20:28:32;13.16
2;13.75;;U B' U2 F2 R2 B R2 B' L2 U2 F U2 D B2 D R2 B2 L2 R';2021-12-15 20:29:03;13.75
3;11.42;;D' R2 F2 U' R2 U B2 F2 U' R2 F' R D2 L U' F L' U';2021-12-15 20:30:04;11.42
4;18.69;;L D2 R' B2 D2 B2 F2 R2 D2 L' D2 U R' F D U2 R F L D;2021-12-15 20:30:39;18.69
5;11.02;;R L D' L' U' B R D' B2 R2 F R2 U2 B' R2 F L2 U2 L2 B R;2021-12-15 20:32:04;11.02
6;13.23;;L2 D L2 U' B2 L2 U' B2 D B2 U' R' F2 U L' F2 R B' U2 L' R';2021-12-15 20:32:30;13.23
7;11.98;;F' U2 F2 L2 U2 R2 U' L2 F2 U2 F2 U B2 L' B2 R' D2 F' D U F';2021-12-15 20:34:46;11.98
8;12.78;;L F D2 F' D2 F' L2 B L2 F R2 U2 L R F' D2 F L' D2 U' L';2021-12-15 20:36:09;12.78
9;12.93;;R2 D2 R2 F2 L2 D' U' B2 U' B2 F2 U2 L B' D' L' D R' D U B';2021-12-15 20:36:33;12.93
10;12.57;;R2 D2 R2 F U2 F R2 D2 R' B2 D' B2 L' U L R2 U';2021-12-15 20:37:03;12.57
11;15.54;;B L U' F2 U B2 U' L2 R2 U2 B2 F2 R2 D' R' F2 L F D L2 U';2021-12-15 20:37:32;15.54
12;14.26;;R2 B2 D2 F2 R2 U' B2 U2 L2 U F U' F' L2 F' D' R F L2 U;2021-12-15 20:37:58;14.26
13;14.90;;L2 D2 F U2 B L2 R2 U2 B' D2 U2 F' R' U2 F R D' B R2 F U;2021-12-15 20:38:28;14.90
14;12.95;;R2 U' R L B' U2 F2 U' D2 L2 U2 L2 F2 D2 R U2 L U2;2021-12-15 20:38:55;12.95
15;12.37;;U2 F R2 B2 U2 F2 D2 R2 B' L2 F' D L' B2 U R D F2 U2 R;2021-12-15 20:39:30;12.37
16;12.27;;F' D L2 B2 R2 B2 D R2 B2 U F2 L2 D' F' L2 D' L D' R U F;2021-12-15 20:39:53;12.27
17;12.55;;R U L' F R' B' U F2 B' L2 F' R2 L2 U2 B2 U2 D2 B L' F;2021-12-15 20:40:57;12.55
18;13.26;;U L2 B R2 F2 U2 B' L2 B U2 F D2 L R B' D L2 F' U R B;2021-12-15 20:41:31;13.26
19;12.55;;B2 R2 U' F2 R2 U2 F2 R2 D' L2 F2 R2 F' R D' B2 F' R2 B U L';2021-12-15 20:42:03;12.55
20;12.06;;U' F' R2 L' U F R' D R2 F L2 F R2 L2 F2 D2 B' D2 F2 L2 R';2021-12-15 20:42:31;12.06
21;13.40;;R U B L D L2 D2 B D U2 L2 B2 L' U2 R' F2 B2 L F2;2021-12-15 20:43:00;13.40
22;13.10;;F2 R B2 F2 D2 R F2 L F L B D L' U F2 D' U';2021-12-15 20:43:25;13.10
23;DNF(7.09);;U' R F2 R' U2 L' D2 R' U2 L D2 R U' R' B' F' D' U' B R;2021-12-15 20:44:24;7.09
24;15.06;;U D' F' R D L B2 U' R' D2 B2 U2 D' L2 U R2 F2 B2 R2 D2 B2;2021-12-15 20:45:00;15.06
25;15.89;;B' L D L2 R2 F2 D2 U' L2 U' F2 D R2 U' F' R D2 B' L' B2 R2;2021-12-15 20:45:28;15.89
26;12.68;;B' R2 D2 B' U2 L2 B L2 B' U2 L2 F' U R2 F' R F D2 L2 D R;2021-12-15 20:47:00;12.68
27;13.92;;F2 U2 R' D2 U2 B2 L B2 U2 R' U2 B D' U2 B2 R' B2 U L R2;2021-12-15 20:47:36;13.92
28;13.75;;L' D' U2 R' U2 B2 L R U2 R' U2 B2 R D F R B' U R' U;2021-12-15 20:48:07;13.75
29;11.21;;F' R' D R2 F R2 F2 L2 R2 U2 B2 F' D2 B D F' D2 U' R' F U;2021-12-15 20:48:38;11.21
30;10.76;;D' F2 D' F2 D' F2 D2 B2 D' L2 U' B D L2 R U L D' L R';2021-12-15 20:49:05;10.76
31;12.39;;F' L F' D2 B' L2 F2 L2 U2 B' D2 F' D2 L2 R D' B D2 U' L2 U;2021-12-15 20:49:34;12.39
32;DNF(21.36);;U' D' L' D B L2 F' R' F R' U2 F2 B2 L' D2 L U2 R' L' U2;2021-12-15 20:50:02;21.36
33;13.14;;B' R L' D' L F U R B' R U2 B2 R F2 B2 L B2 R' F2 R2;2021-12-15 20:51:28;13.14
34;DNF(23.67);;D F2 D' F2 D B2 U' B2 L2 D' L2 U' B' R2 F D2 R D' R B2;2021-12-15 20:51:52;23.67
35;13.47;;L' F' D' L' F2 U R' B U' L' U2 B2 D2 L2 B2 U2 R F2 D2;2021-12-15 20:53:28;13.47
36;12.38;;U' R2 B2 U R2 U' R2 U' R2 F2 U' R D L2 U' F' U' L2 F2 U2;2021-12-15 20:54:59;12.38
37;19.94;;F2 L2 U' F U2 F R2 L' F R' U2 L F2 L2 B2 L' D2 L' B2 R' F2;2021-12-15 20:55:54;19.94
38;13.30;;B L' F2 U' R' L D B' U2 F2 U2 L2 D B2 L2 U2 R2 D L2 B2 F';2021-12-15 20:56:31;13.30
39;13.09;;L2 D' F2 R2 F' U2 R2 D2 R2 B' D2 B' U2 B' D R U' R2 F L F2;2021-12-15 20:56:59;13.09
40;14.03;;R U2 R' D2 R' F2 L2 F2 L2 U2 R' D2 F D' R' U' L U2 B F';2021-12-15 20:57:26;14.03
41;18.55;;B' L2 U2 R2 D2 B2 R2 F U2 F U2 B2 U R' D' L F R' B' U F';2021-12-15 20:57:58;18.55
42;15.45;;F L' F' B R D F2 L U B2 R' B2 L F2 L' D2 B2 L D2 R;2021-12-15 20:58:42;15.45
43;12.29;;B' D' F2 L F' L B2 L D' L2 B' R2 L2 F' D2 F U2 B' L2 U2 F2;2021-12-15 20:59:16;12.29
44;12.93;;U2 D2 R U' D' R' D F R2 D L2 U F2 U F2 D' R2 U';2021-12-15 20:59:49;12.93
45;14.35;;L B' L2 F2 L2 B2 U2 L2 F2 U' B2 U B U' B U2 R' F D2;2021-12-15 21:00:43;14.35
46;12.68;;R2 U' B' D2 F B2 U2 R' U B2 R2 B' R2 B' L2 F2 U2 F U2 B';2021-12-15 21:01:46;12.68
47;12.75;;U' L U' F D' R D' B2 L R2 D' F2 U2 D' B2 D F2 B2 D' L2 F2;2021-12-15 21:02:19;12.75
48;17.17;;D2 B2 D2 F' U2 F R2 F D2 U2 B' D' B' L2 R U' B2 D2 F2 R2;2021-12-15 21:03:20;17.17
49;18.35;;R' B2 U F2 R2 D2 L2 U' B2 D2 R2 U L F U' L2 F2 D2 U' L' F;2021-12-15 21:03:53;18.35
50;13.71;;U F2 U' B2 D' F2 D2 F2 U F2 L' D R' D' F2 R' U F' R U';2021-12-15 21:04:27;13.71
51;13.71;;U L R2 U2 B2 R2 U2 B' U2 B2 R2 D2 B' D' R' B2 L2 B2 U L';2021-12-15 21:05:01;13.71
52;17.94;;L' D' F D' B D R2 U R' D2 F2 D2 L2 U2 R2 B U2 B R2 F';2021-12-15 21:05:30;17.94
53;14.83;;L2 D2 U2 L' B2 L2 F2 D2 B2 L D2 U' B D' B2 R' B D' F' D' F2;2021-12-15 21:06:04;14.83